	Name	AGI ID	TF/Histone	P-value	Corr. p-value	GSE	Genotype	Tissue	Growth cond.	IP	COEX	COEX (Tissue)	COEX (Abiotic)	COEX (Hormone)	COEX (Biotic)	COEX (Light)	Targets	PPI	INDEX
56	AT1G71450	AT1G71450	TF	4.86e-21	7.95096e-18	GSE60143	Col	young leaf	-	DAP	0.6608510638297872	0.8975531914893617	0.5959787234042554	0.6165	0.5592808510638297	0.6259489361702129	AT1G01580, AT1G06000, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46940, AT3G01060, AT3G01550, AT3G03770, AT3G10420, AT3G12580, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G30460, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G24660, AT5G38820	AT1G18150, AT4G11330, AT1G59580, AT5G19010, AT4G01370, AT1G10210	AT1G71450.TF.GSE60143_302.DAP
331	HSI2, VAL1	AT2G30470	TF	5.5100000000000004e-21	9.014360000000001e-18	GSE145387	VAL1-GFP val1	seedling (14DAG)	-	ChIP	0.6157142857142857	0.6173408163265306	0.6738326530612244	0.9102306122448979	0.806404081632653	0.854434693877551	AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G55910, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G80340, AT2G17780, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G42170, AT2G46830, AT2G46940, AT3G01550, AT3G02380, AT3G02670, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G50560, AT3G51750, AT3G53830, AT4G00490, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G38410, AT5G38430, AT5G40950, AT5G49330	AT3G01320, AT3G48750, AT2G46020, AT1G21700, AT2G28290, AT2G30580, AT1G70030, AT3G61830, AT1G01360	AT2G30470.TF.GSE145387_2.ChIP
1485	H3K4me3	H3K4me3	Histone	7.03e-21	1.1501079999999999e-17	GSE60084	JMJ14-FYR-HA jmj14-1 (Col)	seedling (12DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE60084_6.ChIP
1406	Pol2	Pol2	Protein	7.390000000000001e-21	1.2090040000000002e-17	GSE95301	ago1-36 (Col-0)	seedling (10DAG)	1/2 MS, none	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G65560, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G27402, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G50560, AT3G55330, AT4G00490, AT4G14540, AT4G27940, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	Pol2.Protein.GSE95301_12.ChIP
1214	H3	H3	Histone	1.0500000000000001e-20	1.7178000000000002e-17	GSE66585	F1 (ColXLer)	endosperm	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G12570, AT1G15980, AT1G19150, AT1G24147, AT1G29720, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G17780, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G12580, AT3G19450, AT3G21250, AT3G28270, AT3G50560, AT3G53830, AT4G01080, AT4G15430, AT4G27940, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G38350, AT5G38430, AT5G38820, AT5G49330, AT5G58310	Not available	H3.Histone.GSE66585_0.ChIP
197	APRR7, PRR7	AT5G02810	Protein	1.08e-20	1.76688e-17	GSE49282	pPRR7::HA-PRR7 prr7-3 	seedling	-	ChIP	0.9106060606060606	0.9893121212121211	1.2958030303030303	1.0880727272727273	1.0349484848484851	1.153509090909091	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G19490, AT1G35560, AT1G48100, AT1G55960, AT1G64780, AT2G17695, AT2G27402, AT2G27420, AT2G30100, AT2G39730, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G10420, AT3G13510, AT3G19450, AT3G22840, AT3G24520, AT3G28270, AT3G53830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT5G08640, AT5G15948, AT5G17170, AT5G17300, AT5G38410, AT5G38430, AT5G40950, AT5G58310	AT1G09570, AT2G46790, AT2G46790, AT2G46790, AT2G46790, AT5G24470, AT5G24470, AT2G46790, AT2G46790, AT5G24470, AT5G24470, AT1G01060, AT2G46830, AT2G18790, AT1G09530, AT5G24470, AT5G24470, AT1G01060, AT2G46830, AT5G24470, AT5G24470, AT2G17870, AT5G03240, AT1G15750, AT1G15750, AT1G15750, AT5G53160	AT5G02810.Protein.GSE49282_1.ChIP
5	ZF	ZF	Protein	1.22e-20	1.99592e-17	GSE124546	ZF (Col-0)	inflorescence	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G56510, AT1G64780, AT1G71870, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G46830, AT3G01440, AT3G01550, AT3G02670, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G12830, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G24660, AT5G38350, AT5G38820, AT5G49330	Not available	ZF.Protein.GSE124546_18.ChIP
617	ATERF#011, CEJ1, DEAR1	AT3G50260	TF	2.16e-20	3.53376e-17	GSE60143	Col	young leaf	-	DAP	0.5351724137931034	1.0494827586206896	0.9293603448275862	1.0556224137931034	1.069503448275862	0.8200362068965518	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46940, AT3G01060, AT3G01550, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G27940, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G17870, AT5G24660, AT5G38410, AT5G38820, AT5G49330	AT2G43790	AT3G50260.TF.GSE60143_494.DAP
497	H3K4me3	H3K4me3	Histone	2.37e-20	3.87732e-17	GSE133408	Col-0	etiolated seedling	air (control to JA (4hr) treatment)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G64590, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G40950	Not available	H3K4me3.Histone.GSE133408_0.ChIP
1592	H2AK121ub	H2AK121ub	Histone	2.4700000000000004e-20	4.040920000000001e-17	GSE89357	atbmi1a/b/c (Col-0)	seedling (7DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30530, AT1G35560, AT1G48100, AT1G49630, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G80340, AT2G17780, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G32640, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G10185, AT3G13510, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950, AT5G49330, AT5G58310	Not available	H2AK121ub.Histone.GSE89357_0.ChIP
30	LFY, LFY3	AT5G61850	TF	3.1e-20	5.0716e-17	GSE64245	p35S::LFYTERE (CA29-17)	seedling (15DAG)	-	ChIP	0.5419047619047619	0.6794079365079365	0.6769619047619049	0.4190730158730159	0.5508682539682539	0.7967825396825398	AT1G01520, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G38410, AT5G38430, AT5G38820, AT5G40950, AT5G49330, AT5G58310	AT3G61250, AT3G61250, AT3G61250, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT5G61850, AT2G28290, AT2G46020, AT2G28290, AT2G46020, AT2G28290	AT5G61850.TF.GSE64245_1.ChIP
349	H3K4me3	H3K4me3	Histone	5.480000000000001e-20	8.965280000000003e-17	GSE60084	Col	seedling (12DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE60084_4.ChIP
222	EBS	AT4G22140	Protein	6.190000000000001e-20	1.0126840000000001e-16	GSE101428	pEBS::EBS-FLAG ebs (Col-0)	aerial tissue	-	ChIP	0.6892452830188679	0.7965415094339622	0.7032735849056606	0.571722641509434	0.4614226415094339	1.252277358490566	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G53830, AT3G55330, AT4G01080, AT4G12830, AT4G14540, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G38410, AT5G49330	Not available	AT4G22140.Protein.GSE101428_1.ChIP
203	H3K4me3	H3K4me3	Histone	6.58e-20	1.0764880000000002e-16	GSE133408	myc2 (Col-0)	etiolated seedling	JA (4hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE133408_3.ChIP
75	TGA7	AT1G77920	TF	6.759999999999999e-20	1.1059359999999999e-16	GSE60143	Col	young leaf	-	amp	0.5816981132075472	0.868022641509434	0.9232188679245285	1.1616660377358492	1.0828603773584906	0.5918528301886793	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19490, AT1G29720, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G64590, AT1G64780, AT1G71870, AT1G80340, AT2G17695, AT2G22420, AT2G27402, AT2G27420, AT2G37040, AT2G39730, AT2G40020, AT2G42170, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G48420, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G17170, AT5G17300, AT5G24660, AT5G38410, AT5G38820, AT5G40950, AT5G49330, AT5G58310	AT2G46020, AT1G21700, AT3G02000, AT3G02000, AT4G11330, AT1G08320, AT5G23280, AT5G13910, AT3G02150, AT1G35490, AT5G06950, AT2G45680, AT3G15030, AT1G22070, AT2G28160, AT2G31070, AT5G06960, AT5G45110, AT3G47620, AT1G69690, AT1G49720, AT4G32570, AT1G35560, AT3G18550, AT3G12250, AT4G03250, AT2G34900, AT5G06960	AT1G77920.TF.GSE60143_460.amp
478	H3K4me3	H3K4me3	Histone	7.56e-20	1.2368159999999998e-16	GSE133408	Col-0	etiolated seedling	JA (4hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE133408_1.ChIP
1055	H3K4me3	H3K4me3	Histone	8.57e-20	1.4020520000000002e-16	GSE140727	chr4	shoot apical meristem (35DAG)	short day	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE140727_4.ChIP
31	H3K9ac	H3K9ac	Histone	9.67e-20	1.582012e-16	GSE28398	-	Aerial tissue of seedling (14 DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G55330, AT4G00490, AT4G14540, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G10150, AT5G13930, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K9ac.Histone.GSE28398_8.ChIP
1029	H3K4me3	H3K4me3	Histone	1.14e-19	1.8650400000000002e-16	GSE133408	myc2 (Col-0)	etiolated seedling	air (control to JA (4hr) treatment)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE133408_2.ChIP
1086	H3K4me3	H3K4me3	Histone	1.52e-19	2.48672e-16	GSE140727	WT to chr4	shoot apical meristem (35DAG)	short day	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE140727_5.ChIP
635	H3K9-14ac	H3K9-14ac	Histone	1.52e-19	2.48672e-16	GSE82075	Col-0	liquid grown seedling (7DAG)	TSA (16hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950	Not available	H3K9-14ac.Histone.GSE82075_6.ChIP
